[2021-06-29 11:10:59,540] [views.py:40] [views:get] [INFO]- 张三请求教师主页------2021-06-29 11:10:59
[2021-06-29 11:14:52,815] [views.py:40] [views:get] [INFO]- 张三请求教师主页------2021-06-29 11:14:52
[2021-06-29 11:14:59,423] [views.py:40] [views:get] [INFO]- 张三请求教师主页------2021-06-29 11:14:59
[2021-06-29 15:22:27,957] [views.py:40] [views:get] [INFO]- 张三请求教师主页------2021-06-29 15:22:27
[2021-06-29 16:13:23,158] [views.py:40] [views:get] [INFO]- 张三请求教师主页------2021-06-29 16:13:23
[2021-06-29 16:22:31,999] [views.py:41] [views:get] [INFO]- 张三请求教师主页------2021-06-29 16:22:31
[2021-06-29 16:22:51,187] [views.py:41] [views:get] [INFO]- 张三请求教师主页------2021-06-29 16:22:51
[2021-06-29 19:29:35,310] [views.py:41] [views:get] [INFO]- 张三请求教师主页------2021-06-29 19:29:35
[2021-06-29 19:30:31,676] [views.py:41] [views:get] [INFO]- 张三请求教师主页------2021-06-29 19:30:31
[2021-06-29 19:31:35,533] [views.py:41] [views:get] [INFO]- 张三请求教师主页------2021-06-29 19:31:35
[2021-06-29 19:31:54,124] [views.py:40] [views:auth_login] [ERROR]- 登录验证失败get() returned more than one Student -- it returned 2!
[2021-06-29 19:32:09,534] [views.py:40] [views:auth_login] [ERROR]- 登录验证失败Student matching query does not exist.
[2021-06-29 19:32:10,892] [views.py:40] [views:auth_login] [ERROR]- 登录验证失败Student matching query does not exist.
[2021-06-29 19:32:19,847] [views.py:40] [views:auth_login] [ERROR]- 登录验证失败Student matching query does not exist.
[2021-06-29 19:32:44,886] [views.py:40] [views:auth_login] [ERROR]- 登录验证失败get() returned more than one Student -- it returned 2!
[2021-06-29 19:32:46,045] [views.py:40] [views:auth_login] [ERROR]- 登录验证失败get() returned more than one Student -- it returned 2!
[2021-06-29 19:32:46,857] [views.py:40] [views:auth_login] [ERROR]- 登录验证失败get() returned more than one Student -- it returned 2!
[2021-06-29 19:32:47,075] [views.py:40] [views:auth_login] [ERROR]- 登录验证失败get() returned more than one Student -- it returned 2!
[2021-06-29 19:32:47,204] [views.py:40] [views:auth_login] [ERROR]- 登录验证失败get() returned more than one Student -- it returned 2!
[2021-06-29 19:32:47,394] [views.py:40] [views:auth_login] [ERROR]- 登录验证失败get() returned more than one Student -- it returned 2!
[2021-06-29 19:32:47,925] [views.py:40] [views:auth_login] [ERROR]- 登录验证失败get() returned more than one Student -- it returned 2!
[2021-06-29 19:32:48,155] [views.py:40] [views:auth_login] [ERROR]- 登录验证失败get() returned more than one Student -- it returned 2!
[2021-06-29 19:32:48,188] [views.py:40] [views:auth_login] [ERROR]- 登录验证失败get() returned more than one Student -- it returned 2!
[2021-06-29 19:32:48,259] [views.py:40] [views:auth_login] [ERROR]- 登录验证失败get() returned more than one Student -- it returned 2!
[2021-06-29 19:32:57,016] [views.py:40] [views:auth_login] [ERROR]- 登录验证失败get() returned more than one Student -- it returned 2!
[2021-06-29 19:34:52,896] [views.py:40] [views:auth_login] [ERROR]- 登录验证失败get() returned more than one Student -- it returned 2!
[2021-06-29 19:34:54,023] [views.py:40] [views:auth_login] [ERROR]- 登录验证失败get() returned more than one Student -- it returned 2!
[2021-06-29 19:35:01,156] [views.py:40] [views:auth_login] [ERROR]- 登录验证失败get() returned more than one Student -- it returned 2!
[2021-06-29 19:37:08,453] [views.py:41] [views:auth_login] [ERROR]- 登录验证失败get() returned more than one Student -- it returned 2!
[2021-06-29 19:39:06,068] [views.py:42] [views:auth_login] [ERROR]- 登录验证失败get() returned more than one Student -- it returned 2!
[2021-06-29 19:46:13,545] [views.py:41] [views:get] [INFO]- 张三请求教师主页------2021-06-29 19:46:13
[2021-06-29 20:06:34,746] [views.py:41] [views:get] [INFO]- 张三请求教师主页------2021-06-29 20:06:34
[2021-06-29 20:06:41,945] [views.py:41] [views:get] [INFO]- 张三请求教师主页------2021-06-29 20:06:41
[2021-06-29 20:07:19,772] [views.py:41] [views:get] [INFO]- 张三请求教师主页------2021-06-29 20:07:19
[2021-06-29 20:10:03,818] [views.py:41] [views:get] [INFO]- 张三请求教师主页------2021-06-29 20:10:03
[2021-06-29 20:10:18,397] [views.py:41] [views:get] [INFO]- 张三请求教师主页------2021-06-29 20:10:18
[2021-06-29 20:12:36,348] [views.py:41] [views:get] [INFO]- 张三请求教师主页------2021-06-29 20:12:36
[2021-06-29 20:12:55,310] [views.py:41] [views:get] [INFO]- 张三请求教师主页------2021-06-29 20:12:55
[2021-06-29 20:13:10,085] [views.py:41] [views:get] [INFO]- 张三请求教师主页------2021-06-29 20:13:10
[2021-06-29 20:13:30,204] [views.py:41] [views:get] [INFO]- 张三请求教师主页------2021-06-29 20:13:30
[2021-06-29 20:13:41,111] [views.py:41] [views:get] [INFO]- 张三请求教师主页------2021-06-29 20:13:41
